boletin,fecha,materia,articulo,sesion,tramite,quorum,resultado,SERGIO AGUIL?,JENNY ALVAREZ,PEDRO PABLO ALVAREZ-SALAMANCA,OSVALDO ANDRADE,CLAUDIO ARRIAGADA,PEPE AUTH,RAM?N BARROS,GERM?N BECKER,JAIME BELLOLIO,BERNARDO BERGER,GABRIEL BORIC,PEDRO BROWNE,CRISTI?N CAMPOS,KAROL CARIOLA,LAUTARO CARMONA,LORETO CARVAJAL,JUAN LUIS CASTRO,GUILLERMO CERONI,FUAD CHAHIN,MARCELO CH?VEZ,DANIELLA CICARDINI,JUAN ANTONIO COLOMA,ALDO CORNEJO,FELIPE DE MUSSY,ROJO EDWARDS,SERGIO ESPEJO,MARCOS ESPINOSA,FIDEL ESPINOZA,DANIEL FARCAS,RAM?N FAR?AS,MAYA FERN?NDEZ,IV?N FLORES,IV?N FUENTES,GONZALO FUENZALIDA,SERGIO GAHONA,REN? MANUEL GARC?A,CRISTINA GIRARDI,JOAQU?N GODOY,RODRIGO GONZ?LEZ,HUGO GUTI?RREZ,ROMILIO GUTI?RREZ,GUSTAVO HASB?N,JAVIER HERN?NDEZ,MARCELA HERNANDO,MAR?A JOS? HOFFMANN,MIGUEL ?NGEL ALVARADO,GIORGIO JACKSON,ENRIQUE JARAMILLO,CARLOS ABEL JARPA,TUCAPEL JIM?NEZ,JOS? ANTONIO KAST,FELIPE KAST,ISSA KORT,JOAQU?N LAV?N,LUIS LEMUS,ROBERTO LE?N,FELIPE LETELIER,PABLO LORENZINI,JAVIER MACAYA,ROSAURO MART?NEZ,PATRICIO MELERO,DANIEL MELO,FERNANDO MEZA,VLADO MIROSEVIC,ANDREA MOLINA,CRISTI?N MONCKEBERG,NICOL?S MONCKEBERG,MANUEL MONSALVE,CELSO MORALES,JUAN ENRIQUE MORANO,CLAUDIA NOGUEIRA,IV?N NORAMBUENA,DANIEL N??EZ,MARCO ANTONIO N??EZ,PAULINA N??EZ,SERGIO OJEDA,JOS? MIGUEL ORTIZ,CLEMIRA PACHECO,DENISE PASCAL,DIEGO PAULSEN,JOS? P?REZ,LEOPOLDO P?REZ,JAIME PILOWSKY,ROBERTO POBLETE,YASNA PROVOSTE,JORGE RATHGEB,RICARDO RINC?N,GASPAR RIVAS,ALBERTO ROBLES,LUIS ROCAFULL,KARLA RUBILAR,JORGE SABAG,MARCELA SABAT,REN? SAFFIRIO,RA?L SALD?VAR,DAVID SANDOVAL,ALEJANDRO SANTANA,MARCELO SCHILLING,ALEJANDRA SEP?LVEDA,GABRIEL SILBER,ERNESTO SILVA,LEONARDO SOTO,ARTURO SQUELLA,JORGE TARUD,GUILLERMO TEILLIER,V?CTOR TORRES,RENZO TRISOTTI,JOAQU?N TUMA,MARISOL TURRES,JORGE ULLOA,CHRISTIAN UR?ZAR,IGNACIO URRUTIA,OSVALDO URRUTIA,CAMILA VALLEJO,PATRICIO VALLESP?N,ENRIQUE VAN RYSSELBERGHE,MARIO VENEGAS,GERM?N VERDUGO,MAT?AS WALKER,FELIPE WARD
10368-04,13 de sep de 2017 19:15 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"letras a), b) y c) del nuevo art?culo 12 incorporado por el Senado, cuya votaci?n separada ha sido solicitada.",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,RECHAZADO,-10,-10,0,-10,-10,-10,0,0,10,10,-10,-5,-10,-10,-10,-10,-10,-10,0,-5,-10,0,0,10,0,-5,-10,-10,-10,-10,-10,-10,-10,0,0,10,-10,0,-10,-10,10,0,10,-10,10,0,-10,-10,-10,-10,0,0,0,10,-10,0,-10,0,0,0,10,-10,-10,-10,10,10,10,-10,0,-10,10,0,-10,-5,0,-10,-10,-10,-10,0,-10,10,0,-10,-10,10,0,-10,-10,-10,-5,-10,0,-10,-10,10,10,-10,-10,0,0,-10,0,-10,-10,-10,10,-5,0,10,0,0,10,-10,-10,10,-10,10,-10,10
10368-04,13 de sep de 2017 19:14 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"modificaciones introducidas por el Senado en la letra g) del art?culo 5, cuya votaci?n separada ha sido solicitada.",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,10,10,-10,-5,10,10,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,10,0,-10,10,10,0,10,10,10,0,-10,10,10,10,0,0,0,10,10,0,10,0,0,0,10,10,10,-10,10,10,10,10,0,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,10,0,-10,-10,10,-5,10,0,-10,10,10,10,10,-10,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10
10368-04,13 de sep de 2017 19:13 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"modificaciones introducidas por el Senado en el art?culo 3, cuya votaci?n separada ha sido solicitada.",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,-10,10,10,0,0,10,10,-10,-5,10,-5,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,-10,0,-10,-5,10,0,10,10,10,0,-10,10,10,10,0,0,0,10,10,0,10,0,0,0,10,10,10,-10,10,10,10,10,0,10,10,0,-5,10,0,10,10,10,10,0,10,10,0,10,10,10,0,-5,-10,10,-5,10,0,-10,10,10,10,10,-5,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10
10368-04,13 de sep de 2017 19:12 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"las modificaciones incorporadas por el Senado en los art?culos 80 numeral 5) , 8T inciso 1, 9T.",69,TERCER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,RECHAZADO,10,10,0,10,10,10,0,0,-10,-10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,-10,0,-5,10,10,10,10,10,10,10,0,0,-10,10,0,10,10,-10,0,-10,10,-10,0,10,10,10,10,0,0,0,-10,10,0,10,0,0,0,-10,10,10,10,-10,-10,-10,10,0,10,-10,0,10,10,0,10,10,10,10,0,10,-10,0,10,10,-10,0,10,10,10,-5,10,0,10,10,-10,-10,10,10,0,0,10,0,10,10,10,-10,10,0,-10,0,0,-10,10,10,-10,10,-10,10,-10
10368-04,13 de sep de 2017 19:12 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"modificaciones incorporadas por el Senado en los art?culos 29, 30, 31, 33, 34, 35, 49, 50, 51, 52 (todo menos literales j, k y o), 8T (inciso 2 y 3), 21T.",69,TERCER TR?MITE / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,0,10,10,10,0,0,10,10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,-5,10,0,10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10
10368-04,13 de sep de 2017 19:11 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"modificaciones incorporadas por el Senado en los art?culos 11T, 12T, 20T, 22T, 30T, 35T, 36T, 40T, 54T (ex 55T).",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,-5,-5,10,-5,10,10,10,10,10,10,0,-5,10,0,0,-5,0,-5,10,10,10,10,10,10,10,0,0,-5,10,0,10,10,-5,0,-5,10,-5,0,10,10,10,10,0,0,0,-5,10,0,10,0,0,0,-5,10,10,10,-5,-5,-5,10,0,10,-5,0,10,10,0,10,10,10,10,0,10,-5,0,10,10,-5,0,-5,10,10,-5,10,0,10,10,-5,-5,10,10,0,0,10,0,10,10,10,-5,10,0,-5,0,0,-5,10,10,-5,10,-5,10,-5
10368-04,13 de sep de 2017 19:10 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"modificaciones incorporadas por el Senado en los art?culos 3T, 5T, 13T, 24T, 25T, con la salvedad de su letra f) , 26T, 29T, 31T, 33T, 37T, 49T, 50T, 52t (ex 53T), 53T (ex 54T).",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,10,10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,10,0,-5,10,10,-5,10,0,10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10
10368-04,13 de sep de 2017 19:10 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"enmiendas introducidas en el Senado en los art?culo 4, 7, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 27, 39, 40, 46, 60, 61, 62, 64, 72, 75, 78, 79, 82, 84.",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,-10,-10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,-10,0,-5,10,10,10,10,10,10,10,0,0,-10,10,0,10,10,-10,0,-10,10,-10,0,10,10,10,10,0,0,0,-10,10,0,10,0,0,0,-10,10,10,10,-10,-10,-10,10,0,10,-10,0,10,10,0,10,10,10,10,0,10,-10,0,10,10,-10,0,-5,10,10,-5,10,0,10,10,-10,-10,10,10,0,0,10,0,10,10,10,-10,10,0,-10,0,0,-10,10,10,-10,10,-10,10,-10
10368-04,13 de sep de 2017 19:09 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"enmiendas introducidas en el Senado en los art?culos 2, 6, 8, 9, 10, 11, 15, 26, 32, 36, 37, 38, 41, 42, 43, 45, 48, 55, 66, 71, 83.",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,10,10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,10,0,-5,10,10,-5,10,0,10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,10,10,10
10368-04,13 de sep de 2017 19:07 hrs.,Crea el Sistema de Educaci?n P?blica y modifica diversos cuerpos legales.,"enmiendas introducidas en el Senado, con la salvedad de las modificaciones que se votar?n en bloque a continuaci?n y las solicitudes de votaci?n separada, en base a la numeraci?n del Senado",69,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,0,0,10,10,10,-5,10,10,10,10,10,10,0,-5,10,0,0,10,0,-5,10,10,10,10,10,10,10,0,0,10,10,0,0,10,10,0,10,10,10,0,10,10,10,10,0,0,0,10,10,0,0,0,0,0,10,10,10,10,0,10,10,10,0,10,10,0,10,10,0,10,10,10,10,0,10,10,0,10,10,10,0,-5,10,10,-5,10,0,10,10,10,10,10,10,0,0,10,0,10,10,10,10,10,0,10,0,0,10,10,10,10,10,-5,10,10
11346-10,07 de sep de 2017 12:08 hrs.,"Aprueba el Acuerdo entre el Gobierno de la Rep?blica de Chile y el Gobierno de la Rep?blica de Trinidad y Tobago sobre Supresi?n del Requisito de Visa para los Titulares de Pasaportes Diplom?ticos u Oficiales, suscrito en Nueva York, Estados Unidos de Am?rica, el 24 de septiembre de 2016",,66,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,10,0,10,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,10,0,0,10,10,0,0,0,10,0,0,0,0,10,10,0,10,10,10,10,0,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,0,10,0,0,10,0,0,0,0,10,10,10,0,0,10,10,10,0,10,0,10,0,10,0,10,10,10,10,10,0,10,10,10,0,10,10,0,10,0,0,10,0,10,0,0,10,10,0,10,0,10,10,10
11345-10,07 de sep de 2017 12:07 hrs.,"Aprueba el Acuerdo entre el Gobierno de la Rep?blica de Chile y el Gobierno de la Rep?blica de Belar?s sobre Exenci?n de Visas para Titulares de Pasaportes Diplom?ticos, de Servicio y Oficiales, suscrito en Santiago, Chile, el 21 de noviembre de 2016",,66,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,10,0,10,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,10,10,0,0,10,10,0,0,0,10,0,0,0,0,10,10,0,10,10,10,10,0,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,0,10,0,0,0,0,0,0,0,10,10,10,0,0,10,10,10,0,10,0,10,0,10,0,10,10,10,10,10,0,10,10,10,0,10,10,0,10,0,0,10,0,10,0,0,10,10,0,10,0,10,10,10
11344-10,07 de sep de 2017 12:06 hrs.,"Aprueba el Acuerdo entre el Gobierno de la Rep?blica de Chile y el Gobierno de la Rep?blica de la India relativo a la autorizaci?n para realizar actividades remuneradas a familiares dependientes del personal diplom?tico, consular, t?cnico y administrativo asignado a misiones diplom?ticas y consulares, suscrito en Nueva Delhi, el 28 de octubre de 2016",,66,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,0,10,10,10,10,0,10,10,0,0,10,10,0,0,0,0,10,0,0,0,0,0,10,0,0,0,10,10,10,10,0,10,10,0,0,0,10,0,0,0,0,10,10,0,10,10,10,10,0,0,0,0,10,10,10,0,0,0,10,10,10,0,0,0,10,0,10,10,0,0,0,0,0,10,10,10,10,0,0,10,10,10,0,10,0,10,0,10,0,10,10,10,10,10,0,10,10,10,0,10,10,0,10,0,0,10,0,10,0,0,10,10,0,10,0,10,10,10
11271-04,06 de sep de 2017 13:49 hrs.,"Otorga una bonificaci?n adicional por retiro al personal acad?mico, directivo y profesional no acad?mico de las universidades del Estado y faculta a las mismas para conceder otros beneficios transitorios que indica",5? con la modificaci?n propuesta por la Comisi?n de Hacienda.,65,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,0,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,10,10,0,10,0,10,-5,0,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,-10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,0,0
11271-04,06 de sep de 2017 13:46 hrs.,"Otorga una bonificaci?n adicional por retiro al personal acad?mico, directivo y profesional no acad?mico de las universidades del Estado y faculta a las mismas para conceder otros beneficios transitorios que indica",1? con la modificaci?n propuesta por la Comisi?n de Hacienda.,65,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,0,10,0,0,10,10,10,10,10,0,10,0,-10,0,-10,0,0,-10,-10,0,10,-10,10,10,10,10,0,10,-5,-10,-10,-10,10,10,10,-10,0,10,-10,0,10,10,10,0,-10,-10,10,10,-10,0,10,0,10,-5,0,-10,10,10,0,10,-10,10,-10,10,0,10,10,10,-10,10,10,-10,10,10,-10,10,-10,0,10,10,10,0,-10,-10,10,-10,0,10,-10,10,10,10,-10,10,10,10,10,0,0,10,0,0,-10,0,-10,0,10,10,10,0,10,10,-10,10,10,10,10,0,0
11271-04,06 de sep de 2017 13:46 hrs.,"Otorga una bonificaci?n adicional por retiro al personal acad?mico, directivo y profesional no acad?mico de las universidades del Estado y faculta a las mismas para conceder otros beneficios transitorios que indica",,65,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,0,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,10,10,0,10,0,10,10,0,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,0,10,0,10,10,10,0,10,10,10,10,10,10,10,0,0
11277-25,23 de ago de 2017 13:25 hrs.,Faculta disponer el ascenso extraordinario del personal de la Polic?a de Investigaciones de Chile por excepcional abnegaci?n en el cumplimiento de su deber o como reconocimiento p?stumo,"segundo transitorio, con la modificaci?n propuesta por la Comisi?n de Hacienda",61,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,0,10,10,10,10,10,0,10,10,0,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10
11277-25,23 de ago de 2017 13:24 hrs.,Faculta disponer el ascenso extraordinario del personal de la Polic?a de Investigaciones de Chile por excepcional abnegaci?n en el cumplimiento de su deber o como reconocimiento p?stumo,,61,PRIMER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,0,0,10,10,10,10,10,0,10,10,0,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10
8938-24,16 de ago de 2017 13:11 hrs.,Crea el Ministerio de Cultura,"En votaci?n la enmienda del Senado que propone eliminar el art?culo 59, cuya votaci?n separada ha sido solicitada.",58,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,10,10,-10,0,10,10,10,10,10,10,-5,0,0,10,0,10,10,-5,10,10,10,-10,0,10,0,10,10,10,10,-10,-10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,-10,0,10,10,0,0,10,0,10,10,10,10,10,0,0,10,10,-10,10,0,0,10,10,10,10,10,10,0,0,10,10,10,-5,10,10,10,0,10,-10,10,-10,0,10,10,-10,10,0,10,10,10,10,10,0,-10,10,10,0,10,10,-10,10,10,10,0,0,10,10,0,10,10,0,10,10,10
8938-24,16 de ago de 2017 13:11 hrs.,Crea el Ministerio de Cultura,"En votaci?n las modificaciones introducidas por el Senado en los art?culos 16, 17, 19, 20, 41 y n?mero 2 del art?culo 50 que pasar?a a ser 51, que requieren para su aprobaci?n del voto favorable de 67 se?oras y se?ores diputados.",58,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,0,10,10,0,0,10,0,10,10,10,10,10,0,0,10,10,-10,10,0,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,0,0,10,10,0,10,10,0,10,10,10
8938-24,16 de ago de 2017 13:10 hrs.,Crea el Ministerio de Cultura,"con la salvedad de las enmiendas incorporadas en los art?culos 16, 17, 19, 20, 41 y n?mero 2 del art?culo 50 que pasar?a a ser 51, por tratar materias propias de ley org?nica constitucional y del art?culo 59, cuya votaci?n separada ha sido solicitada.",58,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,0,10,10,0,0,10,0,10,10,0,10,10,0,0,10,10,10,10,0,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,0,0,10,10,0,10,10,0,10,10,10
9892-07,08 de ago de 2017 13:14 hrs.,Perfecciona la justicia tributaria y aduanera.,,55,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,0,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,0,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,0,10,10,10,10,10
9895-11,02 de ago de 2017 13:07 hrs.,Regula  la  despenalizaci?n  de  la  interrupci?n  voluntaria  del embarazo  en  tres  causales.,,53,COMISI?N MIXTA / PRIMER INFORME,LEY ORGANICA CONSTITUCIONAL,APROBADO,10,10,-10,10,10,10,-10,-10,-10,-10,10,-10,10,10,10,10,10,10,10,-10,10,-10,10,-10,-10,10,10,10,10,10,10,0,10,-10,-10,-10,10,10,10,10,-10,-10,-10,10,-10,10,10,10,10,10,-10,-10,-10,-10,10,10,10,10,-10,0,-10,10,10,10,-10,-10,-10,10,-10,10,-10,-10,10,10,-10,10,10,10,10,-10,10,-10,10,10,10,-10,10,0,10,10,10,-10,-5,10,10,-10,-10,10,10,10,0,10,-10,10,10,10,-10,10,-10,-10,10,-10,-10,10,10,-10,10,-10,10,-10
10063-21,01 de ago de 2017 13:14 hrs.,Regula el desarrollo integral y arm?nico de caletas pesqueras a nivel nacional y fija normas para su declaraci?n y asignaci?n.,"modificaciones introducidas por el Senado en los art?culos 19, 20 y 24.",52,TERCER TR?MITE / PRIMER INFORME,QUORUM CALIFICADO,APROBADO,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
10063-21,01 de ago de 2017 13:13 hrs.,Regula el desarrollo integral y arm?nico de caletas pesqueras a nivel nacional y fija normas para su declaraci?n y asignaci?n.,"modificaciones incorporadas por el Senado, con la salvedad de las enmiendas introducidas en los art?culos 19, 20 y 24, por tratar materias propias de ley de quorum calificado.",52,TERCER TR?MITE / PRIMER INFORME,QUORUM SIMPLE,APROBADO,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0,0,10,10,10,10,0,10,10,10,10,-5,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10
9895-11,20 de jul de 2017 12:40 hrs.,Regula  la  despenalizaci?n  de  la  interrupci?n  voluntaria  del embarazo  en  tres  causales.,"incisos cuarto, quinto y sexto del art?culo 119 del C?digo Sanitario contenidos en el n?mero 1) del art?culo 1?.",50,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,LEY ORGANICA CONSTITUCIONAL,RECHAZADO,10,10,-10,10,10,10,-10,-10,-10,-10,10,0,0,10,10,10,10,10,10,-5,10,-10,10,-10,-10,10,10,10,10,10,10,-10,10,-10,-10,0,10,10,10,10,-10,0,-10,10,-10,10,10,10,10,10,-10,-10,0,0,10,10,10,10,-10,0,-10,10,0,10,-10,-10,-10,10,-10,10,-10,-10,10,10,-10,10,10,10,10,-10,0,-10,10,10,10,-10,10,0,10,10,10,-10,0,10,10,-10,0,10,10,10,-10,10,-10,10,10,10,-10,10,-10,-10,10,-10,-10,10,0,-10,10,-10,10,-10
9895-11,20 de jul de 2017 12:38 hrs.,Regula  la  despenalizaci?n  de  la  interrupci?n  voluntaria  del embarazo  en  tres  causales.,"En votaci?n las enmiendas incorporadas en el Senado, con la salvedad de los incisos cuarto, quinto y sexto del art?culo 119 del C?digo Sanitario contenidos en el n?mero 1) del art?culo 1?, por tratarse de materias propias de ley org?nica constitucional.",50,TERCER TR?MITE / INFORME ENMIENDAS DEL SENADO,QUORUM SIMPLE,APROBADO,10,10,-10,10,10,10,-10,-10,-10,-10,10,0,0,10,10,10,10,10,10,-10,10,-10,10,-10,-10,10,10,10,10,10,10,-10,10,-10,-10,0,10,10,10,10,-10,0,-10,10,-10,10,10,10,10,10,-10,-10,0,0,10,10,10,10,-10,0,-10,10,0,10,-10,-10,-10,10,-10,10,-10,-10,10,10,-10,10,10,10,10,-10,0,-10,10,10,10,-10,10,0,10,10,10,-10,0,10,10,-10,0,10,10,10,-10,10,-10,10,10,10,-10,10,-10,-10,10,-10,-10,10,0,-10,-10,-10,10,-10
10783-04,17 de jul de 2017 22:58 hrs.,Sobre Educaci?n Superior,"La diputada se?ora Girardi y otros han renovado la siguiente indicaci?n: Para agregar el siguiente art?culo transitorio nuevo: ?Art?culo transitorio.- Desde la dictaci?n de la presente ley y, hasta que no se verifique la acreditaci?n de una universidad en la dimensi?n de generaci?n de conocimiento, creaci?n e innovaci?n, deber?n agregar a su denominaci?n institucional la de: ?Instituci?n superior de docencia?, en tanto aquellas que a la misma ?poca tengan vigente su acreditaci?n en el ?rea de investigaci?n podr?n agregar a su denominaci?n institucional la de: ?universidad de docencia e investigaci?n?. En el evento que estas instituciones no lograren acreditarse en esta dimensi?n dentro de los plazos establecidos en esta ley, deber?n adecuar sus estatutos a los de los Institutos Profesionales.?.",47,PRIMER TR?MITE / SEGUNDO INFORME,QUORUM SIMPLE,RECHAZADO,10,10,-10,10,10,-5,-10,-10,-10,-10,-5,0,10,10,10,10,10,10,10,-5,10,-10,10,-10,-10,-5,10,10,10,10,10,10,10,-10,-10,-10,10,0,10,10,0,0,-10,10,-10,10,-5,10,10,0,-10,-10,0,-10,10,10,10,0,-10,0,-10,-5,0,10,-10,-10,-10,0,-10,10,-10,-10,-5,-10,-10,10,-10,10,10,-10,0,-10,-5,-10,10,-10,-5,0,-5,-10,-10,10,-10,10,10,-10,-10,-10,10,-10,0,-10,-10,10,-5,-5,-10,-5,0,-10,0,-10,-10,10,10,-10,-10,-10,10,-10
